Date,Time,Datetime,PIT,Species,RiverCode,RM,Side,Baited,Antenna,Antenna Type,TRIP_ID,,
9/6/2014,19:18,9/6/14 19:18,384.1B796A47D7,HBC,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/6/2014,20:40,9/6/14 20:40,3DD.003BCAA0DD,HBC,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/6/2014,23:23,9/6/14 23:23,3DD.003B9C2CE3,HBC,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/6/2014,23:45,9/6/14 23:45,3D9.1C2C9C46EA,FMS,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,0:29,9/7/14 0:29,384.1B796B92A1,FMS,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,0:30,9/7/14 0:30,384.1B796BB7BE,HBC,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,1:00,9/7/14 1:00,3DD.003BCAA0BA,HBC,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,1:03,9/7/14 1:03,384.36F2B29393,FMS,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,2:11,9/7/14 2:11,384.1B796BB405,HBC,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,2:15,9/7/14 2:15,3D9.1BF25611A6,FMS,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,4:01,9/7/14 4:01,3DD.003BA0455F,HBC,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,5:23,9/7/14 5:23,384.36F2B24EF6,FMS,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,6:30,9/7/14 6:30,3DD.003BCAA129,FMS,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,7:01,9/7/14 7:01,3DD.003BC890B6,RBT,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,7:53,9/7/14 7:53,3DD.003BCAA120,FMS,COR,30.70,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:00,9/7/14 18:00,3DD.003BC8A2F5,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:00,9/7/14 18:00,3DD.003BCAA08B,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:01,9/7/14 18:01,3DD.003BCAA0B4,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:03,9/7/14 18:03,3D9.1C2D8C1C36,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:06,9/7/14 18:06,3DD.003BC8F00A,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:07,9/7/14 18:07,3D9.1C2D267B83,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:24,9/7/14 18:24,3D9.1C2D3D9BE3,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:30,9/7/14 18:30,3D9.1BF22F3A63,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:39,9/7/14 18:39,384.1B796A47DE,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:42,9/7/14 18:42,3DD.003BCAA09C,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:46,9/7/14 18:46,384.1B796BB7CD,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,18:53,9/7/14 18:53,3DD.003BCAA0C5,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,19:03,9/7/14 19:03,3DD.003BCAA0D4,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,19:05,9/7/14 19:05,3DD.003BA0453F,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,19:52,9/7/14 19:52,3DD.003B9C2CC4,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,20:22,9/7/14 20:22,384.36F2B2BD5F,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,20:26,9/7/14 20:26,3DD.003BCAA094,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,21:12,9/7/14 21:12,3D9.1C2D903846,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,21:35,9/7/14 21:35,3DD.003BCA9C93,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/7/2014,23:22,9/7/14 23:22,3D9.1C2C873169,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/8/2014,1:17,9/8/14 1:17,3DD.003BA04570,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/8/2014,3:36,9/8/14 3:36,3D9.1BF1E997C5,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/8/2014,3:48,9/8/14 3:48,3DD.003BCAA0AF,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/8/2014,17:01,9/8/14 17:01,3DD.003BCA9C40,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/8/2014,17:53,9/8/14 17:53,3DD.003BA0235F,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/8/2014,17:57,9/8/14 17:57,3DD.003BCA9E8F,HBC,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
9/8/2014,18:50,9/8/14 18:50,3DD.003BCA9EDE,FMS,COR,34.90,R,Y,UNK,Submersible,GC20140906,,
