OBJECTID,UNIT,SHORE_LEN,HABITAT,KM,SIDE,UNPADDED_STATION_ID,UP_KM,DOWN_KM,LON_SH_ST,LAT_SH_ST,LON_SH_EN,LAT_SH_EN,LON_CL_ST,LAT_CL_ST,LON_CL_EN,LAT_CL_EN,STATION_TYPE,AGF_LEGACY_NAME,SHAPE,STATION_ID,UP_RM,DOWN_RM,RIVER_CODE
1,UPPER,169.7700562,CL,0.1,L,COR0.1L,0,0.1,-111.4831732,36.93656072,-111.4822922,36.93557736,-111.4835955,36.93636926,-111.4829405,36.93536206,19, ,1,COR000.100L,-15.835,-15.773,COR
2,UPPER,169.8962406,CL,0.1,R,COR0.1R,0,0.1,-111.4842862,36.93575908,-111.4843202,36.93476453,-111.4834371,36.93614407,-111.4828792,36.93524311,19, ,2,COR000.100R,-15.835,-15.773,COR
3,UPPER,170.368394,CL,0.2,L,COR0.2L,0.1,0.3,-111.4822922,36.93557736,-111.4815459,36.93446603,-111.4829405,36.93536206,-111.4823609,36.93420779,19, ,3,COR000.200L,-15.773,-15.649,COR
4,UPPER,169.8744243,CL,0.2,R,COR0.2R,0.1,0.3,-111.4843202,36.93476453,-111.4837946,36.9336942,-111.4828792,36.93524311,-111.4823357,36.93415649,19, ,4,COR000.200R,-15.773,-15.649,COR
5,UPPER,168.9411655,CL,0.3,L,COR0.3L,0.3,0.4,-111.4815459,36.93446603,-111.4810399,36.93341191,-111.4823609,36.93420779,-111.4818375,36.93315358,19, ,5,COR000.300L,-15.649,-15.586,COR
6,UPPER,169.7700561,CL,0.35,R,COR0.35R,0.3,0.4,-111.4837946,36.9336942,-111.483044,36.93231293,-111.4823357,36.93415649,-111.481643,36.93276671,19, ,6,COR000.350R,-15.649,-15.586,COR
7,UPPER,156.5814614,TA,0.45,L,COR0.45L,0.4,0.5,-111.4810399,36.93341191,-111.4803492,36.9322132,-111.4818375,36.93315358,-111.4812284,36.93193986,19, ,7,COR000.450L,-15.586,-15.524,COR
8,UPPER,138.9814157,TA,0.5,R,COR0.5R,0.4,0.6,-111.483044,36.93231293,-111.4819999,36.93150323,-111.481643,36.93276671,-111.4811459,36.93176874,19, ,8,COR000.500R,-15.586,-15.462,COR
9,UPPER,155.9028849,TA,0.6,L,COR0.6L,0.5,0.7,-111.4803492,36.9322132,-111.4798753,36.93090192,-111.4812284,36.93193986,-111.4806166,36.93067145,19, ,9,COR000.600L,-15.524,-15.4,COR
10,UPPER,139.3676137,TA,0.6,R,COR0.6R,0.6,0.7,-111.4819999,36.93150323,-111.481183,36.93051924,-111.4811459,36.93176874,-111.4806266,36.93069223,19, ,10,COR000.600R,-15.462,-15.4,COR
