UNPADDED_STATION_ID,START_RM,END_RM,DB_LINK_ID,STATION_TYPE,RIVER_CODE,SIDE_CODE,START_RKM,END_RKM,STATION_ID
A-1,56.4,56.53,A-01,21,COR,R,90.77,90.98,A-01
A-10,57.55,57.7,A-10,21,COR,R,92.62,92.86,A-10
A-11,57.7,57.82,A-11,21,COR,R,92.86,93.05,A-11
A-12,57.82,58,A-12,21,COR,R,93.05,93.34,A-12
A-13,58,58.14,A-13,21,COR,R,93.34,93.57,A-13
A-14,58.14,58.3,A-14,21,COR,R,93.57,93.82,A-14
A-15,58.3,58.46,A-15,21,COR,R,93.82,94.08,A-15
A-16,58.46,58.5,A-16,21,COR,R,94.08,94.15,A-16
A-17,58.5,58.63,A-17,21,COR,R,94.15,94.36,A-17
A-17+18,60.8,61.3,A-17+18,21,COR,[NULL],97.85,98.65,[NULL]
A-18,58.63,58.8,A-18,21,COR,R,94.36,94.63,A-18
A-19,58.8,58.9,A-19,21,COR,R,94.63,94.79,A-19
A-2,56.53,56.67,A-02,21,COR,R,90.98,91.2,A-02
A-20,58.9,59.06,A-20,21,COR,R,94.79,95.05,A-20
A-21,59.06,59.2,A-21,21,COR,R,95.05,95.27,A-21
A-22,59.2,59.35,A-22,21,COR,R,95.27,95.51,A-22
A-23,59.35,59.41,A-23,21,COR,R,95.51,95.61,A-23
A-24,59.41,59.56,A-24,21,COR,R,95.61,95.85,A-24
A-25,59.56,59.71,A-25,21,COR,R,95.85,96.09,A-25
A-26,59.71,59.88,A-26,21,COR,R,96.09,96.37,A-26
A-27,59.88,60.08,A-27,21,COR,R,96.37,96.69,A-27
A-28,60.08,60.2,A-28,21,COR,R,96.69,96.88,A-28
A-29,60.2,60.3,A-29,21,COR,R,96.88,97.04,A-29
A-3,56.67,56.81,A-03,21,COR,R,91.2,91.43,A-03
A-30,60.3,60.45,A-30,21,COR,R,97.04,97.28,A-30
A-31,60.45,60.59,A-31,21,COR,R,97.28,97.51,A-31
A-32,60.59,60.64,A-32,21,COR,R,97.51,97.59,A-32
A-33,60.64,60.7,A-33,21,COR,R,97.59,97.69,A-33
A-34,60.7,60.88,A-34,21,COR,R,97.69,97.98,A-34
A-35,60.88,61.02,A-35,21,COR,R,97.98,98.2,A-35
A-36,61.02,61.1,A-36,21,COR,R,98.2,98.33,A-36
A-37,61.1,61.22,A-37,21,COR,R,98.33,98.52,A-37
A-38,61.22,61.38,A-38,21,COR,R,98.52,98.78,A-38
A-39,61.38,61.57,A-39,21,COR,R,98.78,99.09,A-39
A-4,56.81,56.94,A-04,21,COR,R,91.43,91.64,A-04
A-40,61.57,61.63,A-40,21,COR,R,99.09,99.18,A-40
A-5,56.94,57.1,A-05,21,COR,R,91.64,91.89,A-05
A-6,57.1,57.17,A-06,21,COR,R,91.89,92.01,A-06
A-7,57.17,57.3,A-07,21,COR,R,92.01,92.22,A-07
A-7+A-8,58.1,58.7,A-07+A-08,21,COR,R,93.5,94.47,A-07+A-08
A-8,57.3,57.36,A-08,21,COR,R,92.22,92.31,A-08
