tag,detected_at,START_DATE,RIVER_CODE,GEAR_CODE,SPECIES_CODE,TOTAL_LENGTH,WEIGHT,START_RM,STATION_ID,TRIP_ID,antenna
384.36F2B28A35,3/23/2019,06/14/2013,COR,HB,FMS,314,260,109.1,2,SHI20130613,3
384.36F2B28A35,3/23/2019,06/14/2013,COR,HB,FMS,314,260,109.1,2,SHI20130613,1
384.36F2B28A35,4/8/2019,06/14/2013,COR,HB,FMS,314,260,109.1,2,SHI20130613,3
384.36F2B28A44,4/15/2019,06/16/2013,COR,HB,FMS,380,470,109.1,3,SHI20130613,1
384.36F2B28FEB,3/31/2019,06/14/2015,COR,HB,FMS,383,380,108.4,1,SHI20150609,1
384.36F2B28FEB,3/31/2019,06/14/2015,COR,HB,FMS,383,380,108.4,1,SHI20150609,1
384.36F2B28FEB,3/31/2019,06/14/2015,COR,HB,FMS,383,380,108.4,1,SHI20150609,1
384.36F2B28FEB,3/31/2019,06/14/2015,COR,HB,FMS,383,380,108.4,1,SHI20150609,1
384.36F2B28FEB,3/31/2019,06/14/2015,COR,HB,FMS,383,380,108.4,1,SHI20150609,1
384.36F2B28FEB,4/1/2019,06/14/2015,COR,HB,FMS,383,380,108.4,1,SHI20150609,1
384.36F2B28FEB,4/1/2019,06/14/2015,COR,HB,FMS,383,380,108.4,1,SHI20150609,3
384.36F2B29028,3/23/2019,09/09/2013,COR,HB,FMS,384,470,109.2,3,SHI20130907,1
384.36F2B29028,3/23/2019,09/09/2013,COR,HB,FMS,384,470,109.2,3,SHI20130907,3
384.36F2B29047,6/11/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,3
384.36F2B29047,6/11/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/11/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,3
384.36F2B29047,6/11/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/11/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,3
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,3
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,1
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,2
384.36F2B29047,6/15/2019,06/14/2015,COR,HB,FMS,415,550,108.4,1,SHI20150609,3
384.36F2B2A093,5/10/2019,06/16/2013,COR,HB,FMS,366,345,109.2,3,SHI20130613,3
384.36F2B2A093,5/10/2019,06/16/2013,COR,HB,FMS,366,345,109.2,3,SHI20130613,1
384.36F2B2A093,5/13/2019,06/16/2013,COR,HB,FMS,366,345,109.2,3,SHI20130613,1
384.36F2B2A093,5/13/2019,06/16/2013,COR,HB,FMS,366,345,109.2,3,SHI20130613,3
3D9.1BF1A0978B,2/27/2019,01/31/2014,BAC,BP1,FMS,502,,,-1,BAC20131024,3
3D9.1BF1A0978B,2/27/2019,01/31/2014,BAC,BP1,FMS,502,,,-1,BAC20131024,1
3D9.1BF252C804,3/23/2019,12/14/2015,BAC,BPBN1,FMS,558,,,-1,BAC20151015,3
3D9.1BF252C804,3/23/2019,12/14/2015,BAC,BPBN1,FMS,558,,,-1,BAC20151015,1
3D9.1BF252C804,4/2/2019,12/14/2015,BAC,BPBN1,FMS,558,,,-1,BAC20151015,1
3D9.1BF252C804,4/2/2019,12/14/2015,BAC,BPBN1,FMS,558,,,-1,BAC20151015,3
3D9.1C2D1432C8,3/25/2019,09/11/2012,SHI,HB,FMS,397,635,,SHI,SHI20120907,3
3D9.1C2D1432C8,3/25/2019,09/11/2012,SHI,HB,FMS,397,635,,SHI,SHI20120907,1
3D9.1C2D1432C8,4/2/2019,09/11/2012,SHI,HB,FMS,397,635,,SHI,SHI20120907,1
3D9.1C2D8DC16D,5/5/2019,09/09/2013,COR,HB,FMS,398,655,109.2,3,SHI20130907,1
3D9.1C2D8DC16D,5/5/2019,09/09/2013,COR,HB,FMS,398,655,109.2,3,SHI20130907,1
3D9.1C2D8DC16D,5/19/2019,09/09/2013,COR,HB,FMS,398,655,109.2,3,SHI20130907,1
3D9.1C2D8DC16D,5/19/2019,09/09/2013,COR,HB,FMS,398,655,109.2,3,SHI20130907,3
3D9.1C2D8DC16D,6/9/2019,09/09/2013,COR,HB,FMS,398,655,109.2,3,SHI20130907,3
3D9.1C2D8DC16D,6/9/2019,09/09/2013,COR,HB,FMS,398,655,109.2,3,SHI20130907,2
3D9.1C2D8DC16D,6/9/2019,09/09/2013,COR,HB,FMS,398,655,109.2,3,SHI20130907,1
