ACCESS_FISH_ID,error correction,TRIP_ID,START_DATE,RIVER_CODE,GEAR_CODE,SPECIES_CODE,TOTAL_LENGTH,PITTAG,DATASHEET_SAMPLE_ID,WEIGHT,STATION_ID,START_RM,SAMPLE_NOTES,BH notes,SEX_CODE,SEX_COND_CODE,SEX_CHAR_CODE,DISPOSITION_CODE
269024,x,SHI20140909,09/14/2014,COR,HB,FMS,423,384.1B796A3C40,H24,580,,108.75,RM 108.75,fixed river mile,M,R,T,RA
269125,x,SHI20140909,09/15/2014,COR,HB,FMS,422,384.1B796A3C40,H44,575,,109.04,"RM 109.04
RR",fixed river mile,M,R,T,RA
267495,x,SHI20150609,06/16/2015,COR,HB,FMS,426,384.1B796A424B,H18,560,3,108.7,"BELOW BASS CABLE IN SMALL SPOT WITH GRASS CLUMP
RIVER LEFT
OPPORTUNISTIC*",fixed river mile,U,N,C,RA
269059,x,SHI20140909,09/14/2014,COR,HB,FMS,346,384.1B796A496B,H32,430,,108.83,RM 108.83,fixed river mile,U,N,T,RA
269093,x,SHI20140909,09/14/2014,COR,HB,FMS,343,384.1B796A4B88,H35,365,,108.86,RM 108.86,fixed river mile,U,N,C,RA
269047,x,SHI20140909,09/14/2014,COR,HB,FMS,379,384.1B796B1D5C,H30,420,,108.81,RM 108.81,fixed river mile,U,N,N,RA
267461,x,SHI20150609,06/16/2015,COR,HB,FMS,428,384.1B796BB3B0,H11,630,3,109.2,JUST UPSTRAM OF SHINIMU BOAT PARKING,fixed river mile,M,N,T,RA
268974,x,SHI20140909,09/13/2014,COR,HB,FMS,378,384.1B796BB7D5,H15,350,,108.66,"
RM 108.66
RL",fixed river mile,U,N,N,RA
268959,x,SHI20140909,09/13/2014,COR,HB,FMS,416,384.1B796BC05B,H11,675,,108.62,"ON A TREE
RM 108.62
RL",fixed river mile,U,N,N,RA
267599,x,SHI20150609,06/14/2015,COR,HB,FMS,347,384.1B796BC39D,H14,450,1,108.6,"MILE108.6 RIVER LEFTTIED TO SKINNY BACCHARIS IN WALL
*DOWNSTREAM OF H12*",fixed river mile,U,N,N,RA
266999,x,SHI20150830,09/03/2015,SHI,HB,FMS,342,384.1B796BC39D,H08,415,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
267663,x,SHI20150609,06/15/2015,COR,HB,FMS,432,384.1B796FA3CB,H19,670,2,109.1,MILE109.1 RIVER LEFT,fixed river mile,M,N,T,RA
