"TRIP_ID","season","year","RIVER_CODE","boat_electrofishing","unbaited_hoop_net","baited_hoop_net","antenna_temporary","total.samples"
"GC20040311","spring",2004,"COR",354,255,0,0,609
"GC20040402","spring",2004,"COR",416,0,0,0,416
"GC20040501","spring",2004,"COR",416,0,0,0,416
"GC20040515","spring",2004,"COR",0,0,612,0,612
"GC20040612","spring",2004,"COR",0,0,288,0,288
"GC20040812","fall",2004,"COR",372,267,0,0,639
"GC20040909","fall",2004,"COR",368,266,0,0,634
"GC20041005","fall",2004,"COR",229,0,0,0,229
"GC20041028","fall",2004,"COR",0,90,0,0,90
"GC20050310","spring",2005,"COR",372,256,0,0,628
"GC20050416","spring",2005,"COR",466,0,0,0,466
"GC20050514","spring",2005,"COR",418,0,0,0,418
"GC20050531","spring",2005,"COR",169,0,183,0,352
"GC20050611","spring",2005,"COR",0,0,288,0,288
"GC20050804","fall",2005,"COR",372,262,0,0,634
"GC20050901","fall",2005,"COR",372,264,0,0,636
"GC20051028","fall",2005,"COR",0,90,0,0,90
"GC20060309","spring",2006,"COR",371,254,0,0,625
"GC20060408","spring",2006,"COR",417,0,0,0,417
"GC20060506","spring",2006,"COR",394,0,0,0,394
"GC20060507","spring",2006,"COR",0,0,540,0,540
"GC20060523","spring",2006,"COR",177,0,216,0,393
"GC20060603","spring",2006,"COR",0,0,504,0,504
"GC20060810","fall",2006,"COR",372,262,0,0,634
"GC20060907","fall",2006,"COR",0,255,0,0,255
"GC20061027","fall",2006,"COR",0,90,0,0,90
"GC20070308","spring",2007,"COR",654,0,0,0,654
"GC20070404","spring",2007,"COR",0,705,0,0,705
"GC20070502","spring",2007,"COR",0,676,0,0,676
"GC20070915","fall",2007,"COR",598,0,0,0,598
"GC20080327","spring",2008,"COR",652,0,0,0,652
"GC20080724","fall",2008,"COR",0,178,0,0,178
"GC20080816","fall",2008,"COR",172,135,0,0,307
"GC20080816","fall",2008,"LCR",0.4,0,0,0,0.4
"GC20080911","fall",2008,"COR",121.8,105,0,0,226.8
"GC20080911","fall",2008,"LCR",0,26,0,0,26
"GC20081024","fall",2008,"COR",0,90,0,0,90
"GC20090228","spring",2009,"COR",420,0,0,0,420
"GC20090326","spring",2009,"COR",528,0,0,0,528
"GC20090430","spring",2009,"COR",900,0,0,0,900
"GC20090812","fall",2009,"COR",98.2,768,0,0,866.2
"GC20090812","fall",2009,"LCR",0,1,0,0,1
"GC20090905","fall",2009,"COR",97.2,719,0,0,816.2
"GC20091012","fall",2009,"COR",109.8,783,0,0,892.8
"GC20100401","spring",2010,"COR",512,0,0,0,512
"GC20100506","spring",2010,"COR",440,0,0,0,440
"GC20100722","fall",2010,"COR",0,14,14,0,28
"GC20100805","fall",2010,"COR",97,653,0,0,750
"GC20100805","fall",2010,"LCR",0,39,0,0,39
"GC20100902","fall",2010,"COR",118.6,945,0,0,1063.6
