"TRIP_ID","season","year","reach_start","RIVER_CODE","baited_hoop_net","boat_electrofishing","unbaited_hoop_net","antenna_temporary","sampling.date","id","water.temp"
"GC20151016","fall",2015,0,"COR",0,99,0,0,2015-10-17,"GC20151016 fall 0",13.96
"LF20050404","spring",2005,0,"COR",0,11,0,0,2005-04-05,"LF20050404 spring 0",8.29
"LF20060404","spring",2006,0,"COR",0,12,0,0,2006-04-05,"LF20060404 spring 0",8.74
"LF20061010","fall",2006,0,"COR",0,11,0,0,2006-10-11,"LF20061010 fall 0",11.75
"LF20081028","fall",2008,0,"COR",0,12,0,0,2008-10-29,"LF20081028 fall 0",13.23
"LF20090421","spring",2009,0,"COR",0,12,0,0,2009-04-22,"LF20090421 spring 0",9.03
"LF20100427","spring",2010,0,"COR",0,11,0,0,2010-04-29,"LF20100427 spring 0",7.87
"LF20101026","fall",2010,0,"COR",0,10,0,0,2010-10-27,"LF20101026 fall 0",10.37
"LF20111018","fall",2011,0,"COR",0,11,0,0,2011-10-19,"LF20111018 fall 0",14.56
"LF20120409","spring",2012,0,"COR",0,16,0,0,2012-04-10,"LF20120409 spring 0",8.84
"LF20121015","fall",2012,0,"COR",0,12,0,0,2012-10-17,"LF20121015 fall 0",10.06
"LF20130325","spring",2013,0,"COR",0,22,0,0,2013-03-26,"LF20130325 spring 0",8.08
"LF20131021","fall",2013,0,"COR",0,11,0,0,2013-10-22,"LF20131021 fall 0",11.25
"LF20131022","fall",2013,0,"COR",0,67,0,0,2013-10-24,"LF20131022 fall 0",11.35
"LF20140318","spring",2014,0,"COR",0,12,0,0,2014-03-19,"LF20140318 spring 0",8.35
"LF20140930","fall",2014,0,"COR",0,11,0,0,2014-10-01,"LF20140930 fall 0",13.51
"LF20141017","fall",2014,0,"COR",0,87,0,0,2014-10-20,"LF20141017 fall 0",13.9
"LF20150317","spring",2015,0,"COR",0,11,0,0,2015-03-18,"LF20150317 spring 0",9.23
"LF20151005","fall",2015,0,"COR",0,12,0,0,2015-10-06,"LF20151005 fall 0",13.52
"LF20160913","fall",2016,0,"COR",0,12,0,0,2016-09-14,"LF20160913 fall 0",12.65
"LF20161019","fall",2016,0,"COR",0,84,0,0,2016-10-20,"LF20161019 fall 0",13.5
"LF20170314","spring",2017,0,"COR",0,13,0,0,2017-03-15,"LF20170314 spring 0",8.86
"LF20170912","fall",2017,0,"COR",0,13,0,0,2017-09-13,"LF20170912 fall 0",11.95
"LF20171026","fall",2017,0,"COR",0,19,0,0,2017-10-30,"LF20171026 fall 0",12.82
"LF20180917","fall",2018,0,"COR",0,21,0,0,2018-09-19,"LF20180917 fall 0",11.72
"LF20190311","spring",2019,0,"COR",0,12,0,0,2019-03-12,"LF20190311 spring 0",8.51
"LF20190417","spring",2019,0,"COR",0,55,0,0,2019-04-20,"LF20190417 spring 0",8.96
"LF20190911","fall",2019,0,"COR",0,54,0,0,2019-09-14,"LF20190911 fall 0",14.42
"LF20190923","fall",2019,0,"COR",0,22,0,0,2019-09-24,"LF20190923 fall 0",14.64
"LF20200915","fall",2020,0,"COR",0,61,0,0,2020-09-15,"LF20200915 fall 0",11.3
"GC20120419","spring",2012,8,"COR",0,1,0,0,2012-04-20,"GC20120419 spring 8",8.91
"GC20130405","spring",2013,8,"COR",0,1,0,0,2013-04-05,"GC20130405 spring 8",8.21
"GC20151016","fall",2015,8,"COR",0,114,0,0,2015-10-20,"GC20151016 fall 8",13.87
"LF20050404","spring",2005,8,"COR",0,12,0,0,2005-04-06,"LF20050404 spring 8",8.56
"LF20060404","spring",2006,8,"COR",0,10,0,0,2006-04-06,"LF20060404 spring 8",8.66
"LF20061010","fall",2006,8,"COR",0,12,0,0,2006-10-12,"LF20061010 fall 8",12
"LF20081028","fall",2008,8,"COR",0,10,0,0,2008-10-30,"LF20081028 fall 8",13.08
"LF20090421","spring",2009,8,"COR",0,12,0,0,2009-04-23,"LF20090421 spring 8",9.14
"LF20100427","spring",2010,8,"COR",0,9,0,0,2010-04-28,"LF20100427 spring 8",8.33
"LF20101026","fall",2010,8,"COR",0,12,0,0,2010-10-28,"LF20101026 fall 8",10.7
"LF20111018","fall",2011,8,"COR",0,12,0,0,2011-10-20,"LF20111018 fall 8",14.73
"LF20120409","spring",2012,8,"COR",0,10,0,0,2012-04-11,"LF20120409 spring 8",8.98
"LF20121015","fall",2012,8,"COR",0,12,0,0,2012-10-15,"LF20121015 fall 8",10.15
"LF20130325","spring",2013,8,"COR",0,10,0,0,2013-03-26,"LF20130325 spring 8",8.1
"LF20131021","fall",2013,8,"COR",0,9,0,0,2013-10-21,"LF20131021 fall 8",11.41
"LF20131022","fall",2013,8,"COR",0,77,0,0,2013-10-26,"LF20131022 fall 8",11.6
"LF20140318","spring",2014,8,"COR",0,13,0,0,2014-03-20,"LF20140318 spring 8",8.32
"LF20140930","fall",2014,8,"COR",0,15,0,0,2014-10-02,"LF20140930 fall 8",13.08
"LF20141017","fall",2014,8,"COR",0,91,0,0,2014-10-19,"LF20141017 fall 8",13.71
"LF20150317","spring",2015,8,"COR",0,15,0,0,2015-03-19,"LF20150317 spring 8",9.26
"LF20151005","fall",2015,8,"COR",0,12,0,0,2015-10-07,"LF20151005 fall 8",13.65
"LF20160913","fall",2016,8,"COR",0,13,0,0,2016-09-15,"LF20160913 fall 8",12.85
"LF20161019","fall",2016,8,"COR",0,87,0,0,2016-10-23,"LF20161019 fall 8",13.94
"LF20170314","spring",2017,8,"COR",0,13,0,0,2017-03-16,"LF20170314 spring 8",8.92
"LF20170912","fall",2017,8,"COR",0,11,0,0,2017-09-14,"LF20170912 fall 8",12.03
"LF20171026","fall",2017,8,"COR",0,52,0,0,2017-10-29,"LF20171026 fall 8",12.71
