GEAR_CODE,n,gear,gear_code_simplified
EL,32759,boat_electrofishing,EL
HB,19364,baited_hoop_net,HB
HS,15285,unbaited_hoop_net,HU
MUX2012,8609,antenna_permanent,
MUX2009,7672,antenna_permanent,
MUX2013,7229,antenna_permanent,
MHB,5420,baited_hoop_net,HB
FS_B_24_HR,5256,antenna_temporary,AN
BK_UNBAITED,5184,antenna_temporary,AN
GFH,4215,unbaited_hoop_net,HU
MUX2011,3071,antenna_permanent,
CUPS_BAITED,3000,antenna_temporary,AN
TK,1890,trammel,
BK,1565,antenna_temporary,AN
CUPS,1276,antenna_permanent,
HMB,1182,baited_hoop_net,HB
TL,558,trammel,
SEN,374,seine,
MHS,201,baited_hoop_net,HB
T75,141,trammel,
SS,136,seine,
TS,123,trammel,
HN,61,unbaited_hoop_net,HU
SC,41,seine,
NPS_BIOMARK_ANTENNA,33,antenna_permanent,
BS,32,seine,
HM2,30,unbaited_hoop_net,HU
AN,18,angling,
HPR,14,antenna_permanent,
HM,11,unbaited_hoop_net,HU
T50,7,trammel,
TK75,7,trammel,
GX,2,gill_net,
TM,2,trammel,
BL,1,seine,
DIP,1,dip_net,
SA,1,seine,
SL,1,seine,
NA,1,NA,
BK_BAITED,,antenna_temporary,AN
