"reach_no","reach","reach_start","RIVER_CODE"
1,"(0,8]",0,"COR"
2,"(8,16]",8,"COR"
3,"(16,24]",16,"COR"
4,"(24,32]",24,"COR"
5,"(32,40]",32,"COR"
6,"(40,48]",40,"COR"
7,"(48,56]",48,"COR"
8,"(56,64]",56,"COR"
9,"(64,72]",64,"COR"
10,"(72,80]",72,"COR"
11,"(80,88]",80,"COR"
12,"(88,96]",88,"COR"
13,"(96,104]",96,"COR"
14,"(104,112]",104,"COR"
15,"(112,120]",112,"COR"
16,"(120,128]",120,"COR"
17,"(128,136]",128,"COR"
18,"(136,144]",136,"COR"
19,"(144,152]",144,"COR"
20,"(152,160]",152,"COR"
21,"(160,168]",160,"COR"
22,"(168,176]",168,"COR"
23,"(176,184]",176,"COR"
24,"(184,192]",184,"COR"
25,"(192,200]",192,"COR"
26,"(200,208]",200,"COR"
27,"(208,216]",208,"COR"
28,"(216,224]",216,"COR"
29,"(224,232]",224,"COR"
30,"(232,240]",232,"COR"
31,"(240,248]",240,"COR"
32,"(248,256]",248,"COR"
33,"(256,264]",256,"COR"
34,"(264,272]",264,"COR"
35,"(272,280]",272,"COR"
36,"(280,288]",280,"COR"
37,"(288,296]",288,"COR"
38,"(296,304]",296,"COR"
39,"(304,312]",304,"COR"
40,"(312,320]",312,"COR"
41,"(320,328]",320,"COR"
42,"(328,336]",328,"COR"
43,"(336,344]",336,"COR"
44,"(344,352]",344,"COR"
45,"(352,360]",352,"COR"
46,"(360,368]",360,"COR"
47,"(368,376]",368,"COR"
48,"(376,384]",376,"COR"
49,"(384,392]",384,"COR"
50,"(392,400]",392,"COR"
51,"(400,408]",400,"COR"
52,"(408,416]",408,"COR"
53,"(416,424]",416,"COR"
54,"(424,432]",424,"COR"
55,"(432,440]",432,"COR"
56,"(440,448]",440,"COR"
57,"(448,456]",448,"COR"
58,"(456,464]",456,"COR"
59,"(464,472]",464,"COR"
60,"(472,480]",472,"COR"
61,"(480,488]",480,"COR"
62,"(488,496]",488,"COR"
63,"(496,504]",496,"COR"
64,"(504,512]",124.24,"LCR"
65,"(512,520]",167.53,"BAC"
